main_name,nova_name,file_name,match_type,notes
,冒险2.icp,冒险2.icp,new,manual-check-needed
,漫威终极联盟.icp,漫威终极联盟.icp,new,manual-check-needed
,米塔.icp,米塔.icp,new,manual-check-needed
,迷你忍者.icp,迷你忍者.icp,new,manual-check-needed
,脑航员.icp,脑航员.icp,new,manual-check-needed
,PlayStation手柄.icp,PlayStation手柄.icp,new,manual-check-needed
,破坏者.icp,破坏者.icp,new,manual-check-needed
,QrTaFPS.icp,QrTaFPS.icp,new,manual-check-needed
,QWERTYV3.icp,QWERTYV3.icp,new,manual-check-needed
,前线任务进化.icp,前线任务进化.icp,new,manual-check-needed
,前线任务进化1.icp,前线任务进化1.icp,new,manual-check-needed
,奇点.icp,奇点.icp,new,manual-check-needed
,求生之路2.icp,求生之路2.icp,new,manual-check-needed
,潜行者.icp,潜行者.icp,new,manual-check-needed
,潜行者1.icp,潜行者1.icp,new,manual-check-needed
,潜行者三部曲触控版.icp,潜行者三部曲触控版.icp,new,manual-check-needed
,潜行者切尔诺贝利的阴影.icp,潜行者切尔诺贝利的阴影.icp,new,manual-check-needed
,潜行者晴空.icp,潜行者晴空.icp,new,manual-check-needed
,骑马与砍杀.icp,骑马与砍杀.icp,new,manual-check-needed
,骑马与砍杀战团.icp,骑马与砍杀战团.icp,new,manual-check-needed
,RTS手柄版.icp,RTS手柄版.icp,new,manual-check-needed
,忍者神龟2003.icp,忍者神龟2003.icp,new,manual-check-needed
,日落过载.icp,日落过载.icp,new,manual-check-needed
,热血无赖.icp,热血无赖.icp,new,manual-check-needed
,上古卷轴4湮灭.icp,上古卷轴4湮灭.icp,new,manual-check-needed
,上古卷轴4湮灭XInput.icp,上古卷轴4湮灭XInput.icp,new,manual-check-needed
,上古卷轴5天际.icp,上古卷轴5天际.icp,new,manual-check-needed
,丝之歌.icp,丝之歌.icp,new,manual-check-needed
,使命召唤战火世界.icp,使命召唤战火世界.icp,new,manual-check-needed
,使命召唤战火世界1.icp,使命召唤战火世界1.icp,new,manual-check-needed
,四指通用彩色版.icp,四指通用彩色版.icp,new,manual-check-needed
,失忆症地堡.icp,失忆症地堡.icp,new,manual-check-needed
,实况足球1.icp,实况足球1.icp,new,manual-check-needed
,实况足球2.icp,实况足球2.icp,new,manual-check-needed
,少年骇客10控制方案.icp,少年骇客10控制方案.icp,new,manual-check-needed
,杀出重围人类革命.icp,杀出重围人类革命.icp,new,manual-check-needed
,杀手2.icp,杀手2.icp,new,manual-check-needed
,杀手赦免.icp,杀手赦免.icp,new,manual-check-needed
,森林.icp,森林.icp,new,manual-check-needed
,死亡岛激流.icp,死亡岛激流.icp,new,manual-check-needed
,死亡空间.icp,死亡空间.icp,new,manual-check-needed
